architecture,family,design,coupling,N,p,g,se_A,se_B,sp_A,sp_B,R,valid_R,undefined_R,mean_A,mean_B,delta,bias,true_change,delta_sd,delta_mcse,mean_RC,ratio_of_means_RC,RC_q025,RC_q975,delta_q025,delta_q975,improve_5,improve_5_mcse,improve_5_lo,improve_5_hi,deteriorate_5,deteriorate_5_mcse,deteriorate_5_lo,deteriorate_5_hi,improve_10,improve_10_mcse,improve_10_lo,improve_10_hi,deteriorate_10,deteriorate_10_mcse,deteriorate_10_lo,deteriorate_10_hi,direction_reversal,direction_reversal_mcse,direction_reversal_lo,direction_reversal_hi,masked,masked_mcse,masked_lo,masked_hi,mean_naive_CI_width,naive_CI_excludes_zero,naive_CI_excludes_zero_mcse,naive_CI_excludes_zero_lo,naive_CI_excludes_zero_hi,expected_A,expected_B,expected_delta,expected_RC,analytic_z_delta,e,q,n_A,n_B,d_A,d_B,f_A,f_B
A,baseline_capture,paired,shared,2000,0.05,0,0.9,0.825,1,1,10000,10000,0,0.04495605,0.0412103,-0.00374575,-0.00374575,-0,0.00138294005287,1.38294005287e-05,-0.0832498068409,-0.0833202650144,-0.145833333333,-0.03,-0.0065,-0.0015,0.8824,0.00322133885209,0.875938955561,0.888567362485,0,0,0,0.000383998370677,0.2775,0.00447765284496,0.268810670509,0.286360208766,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0.0012,0.000346202253026,0.00068660431877,0.00209647245582,0.00525609014695,0.9414,0.00234874519691,0.936624811133,0.945836195105,0.045,0.04125,-0.00375,-0.0833333333333,0.307316285417,,,,,,,,
A,baseline_capture,paired,shared,2000,0.05,0,0.9,0.85,1,1,10000,10000,0,0.04495895,0.04246005,-0.0024989,-0.0024989,-0,0.00112708731808,1.12708731808e-05,-0.0555231908934,-0.0555818140771,-0.107849761526,-0.0117647058824,-0.005,-0.0005,0.5651,0.00495743875403,0.555360433849,0.574789569563,0,0,0,0.000383998370677,0.0449,0.00207084499661,0.0410129941834,0.0491365211336,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0.0097,0.000980097444135,0.00795848139696,0.0118180674053,0.00424671614745,0.7325,0.00442655339966,0.723736041618,0.741085399139,0.045,0.0425,-0.0025,-0.0555555555556,0.0975966974656,,,,,,,,
A,baseline_capture,paired,shared,2000,0.05,0,0.9,0.875,1,1,10000,10000,0,0.04495755,0.04370925,-0.0012483,-0.0012483,-0,0.000792186762062,7.92186762062e-06,-0.0277360154731,-0.0277661927752,-0.0666666666667,0,-0.003,0,0.1093,0.00312015240012,0.103333975705,0.115566080621,0,0,0,0.000383998370677,0.0009,0.000299864969611,0.000473577060585,0.00170973011302,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0.0972,0.00296229910711,0.0915477295054,0.103161619582,0.00286381351356,0.2381,0.00425920638148,0.229853675119,0.246547463227,0.045,0.04375,-0.00125,-0.0277777777778,0.21459586065,,,,,,,,
A,baseline_capture,paired,shared,2000,0.05,0,0.9,0.9,1,1,10000,10000,0,0.04496555,0.04496555,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0,0,0,0.000383998370677,1,0,0.999616001629,1,0,0,0,0,0.000383998370677,0.045,0.045,0,0,0,,,,,,,,
A,baseline_capture,paired,shared,2000,0.05,0,0.9,0.925,1,1,10000,10000,0,0.0449607,0.0462102,0.0012495,0.0012495,-0,0.000794300221128,7.94300221128e-06,0.028074324188,0.0277909374187,0,0.0697674418605,0,0.003,0,0,0,0.000383998370677,0.1159,0.00320104967159,0.109773022608,0.122321964941,0,0,0,0.000383998370677,0.0013,0.000360320690497,0.00075991187258,0.00222308810233,0.9214,0.00269113433332,0.915962187439,0.926514178734,0.1036,0.0030474093916,0.0977786115059,0.109725822402,0.0028658813037,0.239,0.00426472742388,0.23074251549,0.247457931659,0.045,0.04625,0.00125,0.0277777777778,-0.062948490596,,,,,,,,
A,baseline_capture,paired,shared,2000,0.05,0,0.9,0.95,1,1,10000,10000,0,0.0449607,0.04746,0.0024993,0.0024993,-0,0.00113178072203,1.13178072203e-05,0.0561633873413,0.0555885473313,0.010989010989,0.113924050633,0.0005,0.005,0,0,0,0.000383998370677,0.5551,0.00496954716247,0.545340555524,0.564817127856,0,0,0,0.000383998370677,0.0581,0.00233932447514,0.0536824379699,0.0628569397901,0.9907,0.000959870303739,0.9886212075,0.992401936499,0.0141,0.00117903307842,0.0119686442998,0.0166045253169,0.00424412532584,0.7319,0.00442969965122,0.723130109355,0.740491792201,0.045,0.0475,0.0025,0.0555555555556,-0.0618494365887,,,,,,,,
A,baseline_capture,paired,shared,2000,0.05,0,0.9,0.975,1,1,10000,10000,0,0.0449607,0.0487044,0.0037437,0.0037437,-0,0.00136443998756,1.36443998756e-05,0.0841914898655,0.0832660523524,0.0291262135922,0.155555555556,0.0015,0.0065,0,0,0,0.000383998370677,0.862,0.00344899985503,0.855100945753,0.868621039427,0,0,0,0.000383998370677,0.2917,0.00454544948272,0.282872421116,0.300687552606,0.9994,0.00024487547856,0.998691475904,0.999724986524,0.0013,0.000360320690497,0.00075991187258,0.00222308810233,0.00525712237892,0.9397,0.00238041824056,0.93486346297,0.944198848863,0.045,0.04875,0.00375,0.0833333333333,-0.461727892575,,,,,,,,
A,baseline_capture,paired,shared,2000,0.05,0,0.9,1,1,1,10000,10000,0,0.0449607,0.0499539,0.0049932,0.0049932,-0,0.00158998634134,1.58998634134e-05,0.112265814053,0.111056989771,0.0462962962963,0.193560423688,0.002,0.008,0,0,0,0.000383998370677,0.966,0.0018122913673,0.96226520761,0.969376905908,0,0,0,0.000383998370677,0.5986,0.00490181639803,0.588956524328,0.608167751193,1,0,0.999616001629,1,0.0001,9.9994999875e-05,1.76526736011e-05,0.000566268897401,0.00609616399538,0.988,0.00108885260711,0.98567069373,0.98995452386,0.045,0.05,0.005,0.111111111111,-0.427676629867,,,,,,,,
A,baseline_capture,repeated,shared,2000,0.05,0,0.9,0.6,1,1,10000,10000,0,0.0449836,0.02997145,-0.01501215,-0.01501215,-0,0.00595739678342,5.95739678342e-05,-0.326615380822,-0.33372495754,-0.521739130435,-0.0909090909091,-0.0265,-0.0035,0.9869,0.00113703078234,0.98447708888,0.988948973507,0.0026,0.000509238647394,0.00177498837017,0.00380701320898,0.9709,0.0016808685255,0.967420406223,0.974017944111,0.0008,0.000282729552753,0.000405433719897,0.00157795025339,0.0062,0.000784956049725,0.00483978481188,0.007939451979,0.0013,0.000360320690497,0.00075991187258,0.00222308810233,0.0235015480917,0.712,0.00452831094339,0.703044596791,0.7207925879,0.045,0.03,-0.015,-0.333333333333,-0.203948141138,,,,,,,,
A,baseline_capture,repeated,shared,2000,0.05,0,0.9,0.625,1,1,10000,10000,0,0.0449836,0.0312205,-0.0137631,-0.0137631,-0,0.00608039682196,6.08039682196e-05,-0.298345044031,-0.305958171422,-0.504273504274,-0.0428571428571,-0.0255,-0.0015,0.9733,0.00161205179818,0.969954072846,0.976282434297,0.0053,0.000726079196782,0.00405452288778,0.00692540510017,0.9457,0.00226608715631,0.941084958607,0.949972745246,0.0021,0.000457776146168,0.00137399170498,0.00320839387254,0.0099,0.000990049998737,0.00813900122178,0.0120373939812,0.0028,0.000528408932551,0.00193800573069,0.00404384224912,0.0236927556699,0.6291,0.00483045743176,0.619584591331,0.638516260289,0.045,0.03125,-0.01375,-0.305555555556,-0.215446464821,,,,,,,,
A,baseline_capture,repeated,shared,2000,0.05,0,0.9,0.65,1,1,10000,10000,0,0.0449836,0.03247385,-0.01250975,-0.01250975,-0,0.00608375962301,6.08375962301e-05,-0.270323236501,-0.278095794912,-0.473226033835,-0.0138888888889,-0.0245,-0.0005,0.9606,0.00194544699234,0.956606755766,0.964239504935,0.009,0.000944404574322,0.0073283200934,0.0110487663066,0.9171,0.00275731010226,0.911534270133,0.922345398426,0.0035,0.000590571756859,0.00251777850562,0.00486353187646,0.0177,0.00131858674345,0.0152946873601,0.0204757174683,0.0035,0.000590571756859,0.00251777850562,0.00486353187646,0.0238819338306,0.5374,0.00498599277978,0.527615138097,0.547156138825,0.045,0.0325,-0.0125,-0.277777777778,-0.160262742188,,,,,,,,
A,baseline_capture,repeated,shared,2000,0.05,0,0.9,0.675,1,1,10000,10000,0,0.0449836,0.0337222,-0.0112614,-0.0112614,-0,0.00612284402561,6.12284402561e-05,-0.242244244342,-0.250344570021,-0.452387218045,0.0138888888889,-0.023,0.0005,0.9334,0.0024932797677,0.928344941256,0.938122208956,0.0166,0.00127767131924,0.0142750442156,0.0192962054092,0.8772,0.00328207495344,0.8706220115,0.883488300129,0.0068,0.000821812630713,0.00536787615584,0.00861089983699,0.0296,0.00169481090391,0.0264545937508,0.0331066719163,0.0059,0.000765845284637,0.00457704650214,0.00760242068776,0.0240687830467,0.4533,0.00497814332859,0.44356280812,0.463073057328,0.045,0.03375,-0.01125,-0.25,-0.186187986372,,,,,,,,
A,baseline_capture,repeated,shared,2000,0.05,0,0.9,0.7,1,1,10000,10000,0,0.0449836,0.03497705,-0.01000655,-0.01000655,-0,0.00615501182083,6.15501182083e-05,-0.214104734926,-0.222448848025,-0.432989690722,0.0506329113924,-0.022,0.002,0.9014,0.00298124202305,0.895401825003,0.907089901105,0.0255,0.00157638034751,0.022587782727,0.0287766317267,0.8239,0.00380905224433,0.816310415053,0.831240830803,0.011,0.00104302444842,0.00913526995319,0.0132402804533,0.0467,0.00210995521279,0.0427357618766,0.0510123710463,0.008,0.000890842298053,0.0064330500512,0.00994480434555,0.0242544308936,0.3655,0.00481570088357,0.356114718533,0.374988577029,0.045,0.035,-0.01,-0.222222222222,-0.106417342333,,,,,,,,
A,baseline_capture,repeated,shared,2000,0.05,0,0.9,0.725,1,1,10000,10000,0,0.0449836,0.0362212,-0.0087624,-0.0087624,-0,0.00624162975786,6.24162975786e-05,-0.186039056084,-0.194790990494,-0.41,0.0857142857143,-0.021,0.0035,0.8555,0.00351596003959,0.848472304505,0.862254672654,0.0425,0.00201726919374,0.0387187616541,0.0466325968551,0.7646,0.0042424855922,0.756184250836,0.772812537227,0.0195,0.00138274184142,0.0169686324943,0.0224003899399,0.0749,0.00263229918512,0.0699024344934,0.0802240409213,0.0117,0.00107531902243,0.00977199841537,0.0140030143934,0.0244368582636,0.2892,0.00453390957122,0.280395984971,0.298165908742,0.045,0.03625,-0.00875,-0.194444444444,-0.198666061286,,,,,,,,
A,baseline_capture,repeated,shared,2000,0.05,0,0.9,0.75,1,1,10000,10000,0,0.0449836,0.03746525,-0.00751835,-0.00751835,-0,0.00628240679525,6.28240679525e-05,-0.158042575664,-0.167135355996,-0.390804597701,0.126440419031,-0.02,0.005,0.8053,0.00395969582165,0.797422508733,0.812943021862,0.0639,0.00244574712511,0.0592718810868,0.0688630422921,0.6908,0.00462163780493,0.681669932447,0.699783533775,0.0336,0.00180197225284,0.0302434353557,0.0373147583245,0.1074,0.0030962112331,0.101481587812,0.113619927709,0.0153,0.00122743268655,0.0130736715154,0.0178985765051,0.0246174537173,0.2267,0.00418696919024,0.218599542534,0.235010350976,0.045,0.0375,-0.0075,-0.166666666667,-0.292085511143,,,,,,,,
