n,kind,end,rule,R,signal_probability,mcse,wilson_lo,wilson_hi,detected_R,nondetected_R,mean_first_month_conditional,median_lag_conditional,mean_lag_conditional,restricted_mean_lag,mean_shift,shift_mcse
500,gradual,0.85,three_sigma,10000,0.1261,0.00331962030961,0.119736905786,0.132750248195,1261,8739,37.7002379064,13.0,12.7002379064,22.5751,0.00125310833333,2.56706707146e-05
500,gradual,0.9,eight_same_side,10000,0.1745,0.0037953886494,0.167186544578,0.182063438362,1745,8255,40.8114613181,16.0,15.8114613181,22.5711,0.00245895833333,2.5815715938e-05
500,gradual,0.9,three_sigma,10000,0.1902,0.00392458864086,0.182627467274,0.198010458116,1902,8098,38.8659305994,15.0,13.8659305994,22.0725,0.00245895833333,2.5815715938e-05
500,gradual,0.95,eight_same_side,10000,0.2739,0.00445958282802,0.265247447375,0.282726196688,2739,7261,41.595837897,17.0,16.595837897,21.972,0.003764625,2.59233253833e-05
500,gradual,0.95,three_sigma,10000,0.2821,0.0045002176614,0.273364705403,0.291002641087,2821,7179,40.0315490961,16.0,15.0315490961,21.47,0.003764625,2.59233253833e-05
5000,abrupt,0.8,eight_same_side,10000,0.1098,0.00312640304503,0.103821543395,0.116078128933,1098,8902,39.1921675774,14.0,14.1921675774,22.9231,-4.96833333333e-06,7.95184145481e-06
5000,abrupt,0.8,three_sigma,10000,0.0752,0.00263713784243,0.0701928458923,0.0805333991234,752,9248,35.9428191489,11.0,10.9428191489,23.0181,-4.96833333333e-06,7.95184145481e-06
5000,abrupt,0.82,eight_same_side,10000,0.2207,0.00414718591336,0.212679768827,0.228934732663,2207,7793,38.7503398278,13.0,13.7503398278,21.7379,0.00100585416667,8.06798195344e-06
5000,abrupt,0.82,three_sigma,10000,0.1515,0.0035853556309,0.144606730487,0.158660916378,1515,8485,36.1438943894,11.0,11.1438943894,22.0523,0.00100585416667,8.06798195344e-06
5000,abrupt,0.85,eight_same_side,10000,0.6434,0.0047899524006,0.633958441608,0.65273142766,6434,3566,37.1403481505,11.0,12.1403481505,16.3695,0.00251049666667,8.10081828117e-06
5000,abrupt,0.85,three_sigma,10000,0.4336,0.00495571427748,0.423914307589,0.443336687395,4336,5664,35.1042435424,10.0,10.1042435424,17.9748,0.00251049666667,8.10081828117e-06
5000,abrupt,0.9,eight_same_side,10000,0.9858,0.00118314665194,0.983287481323,0.98793942586,9858,142,33.6620004058,7.0,8.66200040576,8.8798,0.0049946575,8.26647038916e-06
5000,abrupt,0.9,three_sigma,10000,0.9425,0.00232795511125,0.937765085183,0.946895076259,9425,575,30.7695490716,4.0,5.76954907162,6.8178,0.0049946575,8.26647038916e-06
5000,abrupt,0.95,eight_same_side,10000,0.9998,0.000141407213395,0.999271004156,0.999945151073,9998,2,32.2184436887,7.0,7.21844368874,7.2218,0.00751975666667,8.2447000436e-06
5000,abrupt,0.95,three_sigma,10000,1.0,0.0,0.999616001629,1.0,10000,0,26.5897,1.0,1.5897,1.5897,0.00751975666667,8.2447000436e-06
5000,gradual,0.8,eight_same_side,10000,0.1051,0.00306682229678,0.0992400210505,0.111263260863,1051,8949,39.0485252141,14.0,14.0485252141,22.9541,-3.76666666667e-07,8.01071228398e-06
5000,gradual,0.8,three_sigma,10000,0.0768,0.00266273844003,0.0717421087767,0.0821829074442,768,9232,36.26171875,11.0,11.26171875,23.0217,-3.76666666667e-07,8.01071228398e-06
5000,gradual,0.82,eight_same_side,10000,0.1368,0.0034363608658,0.130204173796,0.143674762621,1368,8632,40.0160818713,15.0,15.0160818713,22.771,0.000496883333333,8.04535986201e-06
5000,gradual,0.82,three_sigma,10000,0.109,0.00311639214477,0.103041454404,0.115258832321,1090,8910,37.7348623853,13.0,12.7348623853,22.7721,0.000496883333333,8.04535986201e-06
5000,gradual,0.85,eight_same_side,10000,0.306,0.00460829686544,0.297043826849,0.315105164518,3060,6940,41.8009803922,18.0,16.8009803922,21.7971,0.00124862083333,7.97389242761e-06
5000,gradual,0.85,three_sigma,10000,0.2184,0.00413160307871,0.210411173537,0.226605094345,2184,7816,40.1996336996,17.0,15.1996336996,22.078,0.00124862083333,7.97389242761e-06
5000,gradual,0.9,eight_same_side,10000,0.7266,0.0044570443121,0.717778583601,0.735247388338,7266,2734,41.5071566199,17.0,16.5071566199,18.5557,0.00250378833333,8.09255512926e-06
5000,gradual,0.9,three_sigma,10000,0.6173,0.00486045995766,0.607730353241,0.626779560741,6173,3827,41.4438684594,18.0,16.4438684594,19.3356,0.00250378833333,8.09255512926e-06
5000,gradual,0.95,eight_same_side,10000,0.9507,0.00216493671963,0.946281020015,0.954772843854,9507,493,40.0320816241,15.0,15.0320816241,15.4742,0.00375367333333,8.15290773878e-06
5000,gradual,0.95,three_sigma,10000,0.9383,0.00240609870953,0.93341372923,0.942849657798,9383,617,40.0114036023,16.0,15.0114036023,15.566,0.00375367333333,8.15290773878e-06
