architecture,family,design,coupling,N,p,g,se_A,se_B,sp_A,sp_B,R,valid_R,undefined_R,mean_A,mean_B,delta,bias,true_change,delta_sd,delta_mcse,mean_RC,ratio_of_means_RC,RC_q025,RC_q975,delta_q025,delta_q975,improve_5,improve_5_mcse,improve_5_lo,improve_5_hi,deteriorate_5,deteriorate_5_mcse,deteriorate_5_lo,deteriorate_5_hi,improve_10,improve_10_mcse,improve_10_lo,improve_10_hi,deteriorate_10,deteriorate_10_mcse,deteriorate_10_lo,deteriorate_10_hi,direction_reversal,direction_reversal_mcse,direction_reversal_lo,direction_reversal_hi,masked,masked_mcse,masked_lo,masked_hi,mean_naive_CI_width,naive_CI_excludes_zero,naive_CI_excludes_zero_mcse,naive_CI_excludes_zero_lo,naive_CI_excludes_zero_hi,expected_A,expected_B,expected_delta,expected_RC,analytic_z_delta,e,q,n_A,n_B,d_A,d_B,f_A,f_B
C,C1,paired,shared,2000,,0.0,,,,,10000,10000,0,0.592734441664,0.500162668503,-0.0925717731606,-0.0925717731606,0.0,0.0121265558284,0.000121265558284,-0.15617151089,-0.156177482956,-0.196480938416,-0.119402985075,-0.117132867133,-0.0699802959471,0.0,0.0,0.0,0.000383998370677,1.0,0.0,0.999616001629,1.0,0.0,0.0,0.0,0.000383998370677,0.9988,0.000346202253026,0.997903527544,0.999313395681,1.0,0.0,0.999616001629,1.0,0.0,0.0,0.0,0.000383998370677,,,,,,0.592720970537,0.500108318891,-0.0926126516464,-0.15625,0.337098896328,0.3,0.75,0.8,0.675,0.95,0.95,0.005,0.005
C,C1,paired,shared,2000,,0.0,,,,,10000,10000,0,0.592724470737,0.518591702179,-0.0741327685585,-0.0741327685585,0.0,0.0109518832943,0.000109518832943,-0.125066417999,-0.125071213048,-0.16082123412,-0.0911616161616,-0.0959602570205,-0.053539865181,0.0,0.0,0.0,0.000383998370677,1.0,0.0,0.999616001629,1.0,0.0,0.0,0.0,0.000383998370677,0.9251,0.00263229918512,0.919775959079,0.930097565507,1.0,0.0,0.999616001629,1.0,0.0,0.0,0.0,0.000383998370677,,,,,,0.592720970537,0.51863084922,-0.0740901213172,-0.125,-0.38940554947,0.3,0.75,0.8,0.7,0.95,0.95,0.005,0.005
C,C1,paired,shared,2000,,0.0,,,,,10000,10000,0,0.592553993821,0.536945442673,-0.0556085511479,-0.0556085511479,0.0,0.00956675540395,9.56675540395e-05,-0.093843203235,-0.0938455427317,-0.125714703425,-0.063768115942,-0.0746534892987,-0.0375,0.0,0.0,0.0,0.000383998370677,0.9991,0.000299864969611,0.998290269887,0.999526422939,0.0,0.0,0.0,0.000383998370677,0.3439,0.00475008199929,0.334651547182,0.353268337109,1.0,0.0,0.999616001629,1.0,0.0,0.0,0.0,0.000383998370677,,,,,,0.592720970537,0.537153379549,-0.0555675909879,-0.09375,-0.428151011997,0.3,0.75,0.8,0.725,0.95,0.95,0.005,0.005
C,C1,paired,shared,2000,,0.0,,,,,10000,10000,0,0.592580786701,0.555779665141,-0.0368011215607,-0.0368011215607,0.0,0.00783290547869,7.83290547869e-05,-0.0621069519723,-0.0621031298797,-0.0886075949367,-0.0380939440994,-0.0525363112008,-0.0223367697595,0.0,0.0,0.0,0.000383998370677,0.8215,0.0038293308815,0.813871619585,0.828881469462,0.0,0.0,0.0,0.000383998370677,0.0035,0.000590571756859,0.00251777850562,0.00486353187646,1.0,0.0,0.999616001629,1.0,0.0,0.0,0.0,0.000383998370677,,,,,,0.592720970537,0.555675909879,-0.0370450606586,-0.0625,3.11428624468,0.3,0.75,0.8,0.75,0.95,0.95,0.005,0.005
C,C1,paired,shared,2000,,0.0,,,,,10000,10000,0,0.592580786701,0.574240414241,-0.0183403724601,-0.0183403724601,0.0,0.00558014352886,5.58014352886e-05,-0.0309530244323,-0.0309499951259,-0.0505952380952,-0.014450867052,-0.029752572694,-0.00854700854701,0.0,0.0,0.0,0.000383998370677,0.0275,0.00163535164414,0.024471692103,0.0308911863573,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,1.0,0.0,0.999616001629,1.0,0.006,0.000772269383052,0.00466452289345,0.00771486749678,,,,,,0.592720970537,0.574198440208,-0.0185225303293,-0.03125,3.2643939755,0.3,0.75,0.8,0.775,0.95,0.95,0.005,0.005
C,C1,paired,shared,2000,,0.0,,,,,10000,10000,0,0.593053464329,0.593053464329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,1.0,0.0,0.999616001629,1.0,,,,,,0.592720970537,0.592720970537,0.0,0.0,0.0,0.3,0.75,0.8,0.8,0.95,0.95,0.005,0.005
C,C1,paired,shared,2000,,0.0,,,,,10000,10000,0,0.592721250968,0.61124678144,0.0185255304721,0.0185255304721,0.0,0.00563325348667,5.63325348667e-05,0.0313501729819,0.031255046857,0.014164305949,0.0519480519481,0.00854700854701,0.0301013721862,0.0359,0.00186040828852,0.0324282272507,0.039728200037,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,0.0061,0.000778639197575,0.00475210315987,0.00782721043068,,,,,,0.592720970537,0.611243500867,0.0185225303293,0.03125,0.0532577279742,0.3,0.75,0.8,0.825,0.95,0.95,0.005,0.005
C,C1,paired,shared,2000,,0.0,,,,,10000,10000,0,0.592613611099,0.629677785968,0.0370641748699,0.0370641748699,0.0,0.00785710283778,7.85710283778e-05,0.0627312106316,0.0625435767517,0.0375712857785,0.0919881305638,0.0225694444444,0.0530988151589,0.8141,0.00389025950291,0.806355127585,0.821603644639,0.0,0.0,0.0,0.000383998370677,0.0081,0.000896347588829,0.00652228990586,0.0100554876912,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,,,,,,0.592720970537,0.629766031196,0.0370450606586,0.0625,0.243273018987,0.3,0.75,0.8,0.85,0.95,0.95,0.005,0.005
C,C1,paired,shared,2000,,0.0,,,,,10000,10000,0,0.59264337203,0.648285117168,0.0556417451382,0.0556417451382,0.0,0.00942008608786,9.42008608786e-05,0.094153721453,0.0938873996812,0.06199403971,0.129449838188,0.0376344086022,0.0742662104828,0.9978,0.000468525346166,0.9966710408,0.998546650422,0.0,0.0,0.0,0.000383998370677,0.3546,0.0047839193137,0.345281157953,0.364030508773,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,,,,,,0.592720970537,0.648288561525,0.0555675909879,0.09375,0.787191854295,0.3,0.75,0.8,0.875,0.95,0.95,0.005,0.005
C,C1,paired,shared,2000,,0.0,,,,,10000,10000,0,0.593052898442,0.667297840835,0.0742449423933,0.0742449423933,0.0,0.0110483386203,0.000110483386203,0.125556292057,0.125191096087,0.0883097784568,0.167792284699,0.0537246971722,0.0963855421687,1.0,0.0,0.999616001629,1.0,0.0,0.0,0.0,0.000383998370677,0.8983,0.00302253387078,0.892222159016,0.904071947882,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,0.0,0.0,0.0,0.000383998370677,,,,,,0.592720970537,0.666811091854,0.0740901213172,0.125,1.40130640001,0.3,0.75,0.8,0.9,0.95,0.95,0.005,0.005
