architecture,family,design,N,g,c_A,c_B,specificity,mode,R,valid_R,undefined_R,mean_A,mean_B,delta,bias,true_change,delta_sd,delta_mcse,mean_RC,ratio_of_means_RC,RC_q025,RC_q975,delta_q025,delta_q975,improve_5,improve_5_mcse,improve_5_lo,improve_5_hi,deteriorate_5,deteriorate_5_mcse,deteriorate_5_lo,deteriorate_5_hi,improve_10,improve_10_mcse,improve_10_lo,improve_10_hi,deteriorate_10,deteriorate_10_mcse,deteriorate_10_lo,deteriorate_10_hi,direction_reversal,direction_reversal_mcse,direction_reversal_lo,direction_reversal_hi,masked,masked_mcse,masked_lo,masked_hi,population_OE_A,population_OE_B,expected_RC
B1,main,paired,2000,0.1,0.7,0.5,0.995,independent,10000,10000,0,1.209129452,1.25873089535,0.0496014433456,0.149601443346,-0.1,0.0351006750603,0.000351006750603,0.0410185169734,0.0410224424386,-0.0168693507455,0.095346351477,-0.020604951865,0.115889011427,0.0015,0.00038700775186,0.000909261825593,0.00247358454997,0.3909,0.00487952036577,0.381379954662,0.400503833782,0,0,0,0.000383998370677,0.0164,0.00127008031242,0.0140899495879,0.0190814536362,0.9195,0.00272065708975,0.914005113613,0.924672711754,0.1028,0.00303697481056,0.0969993516557,0.10890569665,1.20948842127,1.2588091244,0.0407781523699
B1,main,paired,2000,0.1,0.7,0.525,0.995,independent,10000,10000,0,1.209129452,1.23520786763,0.026078415623,0.126078415623,-0.1,0.0340081985411,0.000340081985411,0.0215632631153,0.0215679268914,-0.0346377479699,0.0745321546539,-0.0421090451597,0.0904103465372,0.0068,0.000821812630713,0.00536787615584,0.00861089983699,0.1564,0.00363234139365,0.149412827777,0.163651055903,0,0,0,0.000383998370677,0.0024,0.000489309717868,0.0016133788094,0.0035687763691,0.7829,0.0041227125779,0.774711819919,0.790870913803,0.2033,0.0040245386071,0.195526673293,0.211301191341,1.20948842127,1.23534577527,0.021378752821
B1,main,paired,2000,0.1,0.7,0.55,0.995,independent,10000,10000,0,1.209129452,1.21249671558,0.00336726357636,0.103367263576,-0.1,0.0330846620591,0.000330846620591,0.00277740073946,0.00278486606275,-0.0524818684407,0.0536375146913,-0.0636742843454,0.0653438664145,0.0299,0.00170311449997,0.026738237048,0.0334227982201,0.0359,0.00186040828852,0.0324282272507,0.039728200037,0.0001,9.9994999875e-05,1.76526736011e-05,0.000566268897401,0.0001,9.9994999875e-05,1.76526736011e-05,0.000566268897401,0.5505,0.00497443212839,0.540732753094,0.56022846307,0.2808,0.00449389986537,0.27207757956,0.289690765325,1.20948842127,1.2125550393,0.00253546703873
B1,main,paired,2000,0.1,0.7,0.575,0.995,independent,10000,10000,0,1.209129452,1.19032018511,-0.0188092668895,0.0811907331105,-0.1,0.0322852923891,0.000322852923891,-0.0155653442825,-0.015556040636,-0.0693613695628,0.0342180337887,-0.0853169402627,0.0413426487557,0.1024,0.00303173613628,0.0966097635766,0.108495591928,0.006,0.000772269383052,0.00466452289345,0.00771486749678,0.0013,0.000360320690497,0.00075991187258,0.00222308810233,0,0,0,0.000383998370677,0.287,0.00452361581039,0.278216992701,0.295946590605,0.2567,0.00436812442588,0.248233194335,0.265353659273,1.20948842127,1.19041039316,-0.0157736343494
B1,main,paired,2000,0.1,0.7,0.6,0.995,independent,10000,10000,0,1.209129452,1.1687885443,-0.0403409077038,0.0596590922962,-0.1,0.031606525089,0.00031606525089,-0.0333732741522,-0.0333635969556,-0.0858758156181,0.0158122517637,-0.104764086311,0.0190236894511,0.2586,0.0043786532176,0.250111841786,0.267273552627,0.0002,0.000141407213395,5.48489273209e-05,0.000728995844007,0.0076,0.000868460707229,0.00607678426402,0.00950137733142,0,0,0,0.000383998370677,0.0958,0.00294316768126,0.0901857289832,0.1017246953,0.1452,0.00352302370131,0.138431224703,0.152241260541,1.20948842127,1.16888665438,-0.0335693721228
B1,main,paired,2000,0.1,0.7,0.625,0.995,independent,10000,10000,0,1.209129452,1.14787459194,-0.0612548600593,0.0387451399407,-0.1,0.0309809241078,0.000309809241078,-0.0506715470658,-0.0506602994062,-0.101934478249,-0.00352715465292,-0.125132972782,-0.00427886243555,0.4999,0.0049999999,0.490102100411,0.509697976389,0,0,0,0.000383998370677,0.0299,0.00170311449997,0.026738237048,0.0334227982201,0,0,0,0.000383998370677,0.0177,0.00131858674345,0.0152946873601,0.0204757174683,0.0401,0.00196193756272,0.0364279583232,0.0441252433782,1.20948842127,1.14795989846,-0.0508715269423
B1,main,paired,2000,0.1,0.7,0.65,0.995,independent,10000,10000,0,1.209129452,1.12753252677,-0.0815969252339,0.0184030747661,-0.1,0.0304515219927,0.000304515219927,-0.0674975082885,-0.0674840275363,-0.117598421959,-0.0216960175387,-0.144462046026,-0.0256966388087,0.7565,0.00429194303317,0.747990489185,0.764812519651,0,0,0,0.000383998370677,0.0972,0.00296229910711,0.0915477295054,0.103161619582,0,0,0,0.000383998370677,0.0016,0.000399679871897,0.000985132659693,0.0025976369162,0.0068,0.000821812630713,0.00536787615584,0.00861089983699,1.20948842127,1.12760738216,-0.0676989028327
B1,main,paired,2000,0.1,0.7,0.675,0.995,independent,10000,10000,0,1.209129452,1.10771600937,-0.101413442637,-0.00141344263681,-0.1,0.0299950157328,0.000299950157328,-0.0838853895658,-0.0838731059514,-0.133110267362,-0.0395494872095,-0.163143489095,-0.0460213927069,0.9238,0.00265317847119,0.918435579439,0.928838943542,0,0,0,0.000383998370677,0.25,0.00433012701892,0.241610193183,0.258581806002,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0.0005,0.000223550889061,0.000213588426164,0.00117002594614,1.20948842127,1.10780747221,-0.0840693860911
B1,main,paired,2000,0.1,0.7,0.7,0.995,independent,10000,10000,0,1.209129452,1.08846129229,-0.120668159717,-0.0206681597171,-0.1,0.0296649709729,0.000296649709729,-0.0998087854804,-0.0997975522945,-0.147435897436,-0.0566037735849,-0.182110270658,-0.0671001299313,0.9887,0.0010569914853,0.986432588782,0.990592091211,0,0,0,0.000383998370677,0.4798,0.00499591793367,0.470017814676,0.489597698858,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0,0,0,0.000383998370677,1.20948842127,1.08853957914,-0.1
B1,main,paired,2000,0.1,0.7,0.725,0.995,independent,10000,10000,0,1.209129452,1.06973306508,-0.139396386925,-0.0393963869249,-0.1,0.0298625520447,0.000298625520447,-0.115290274511,-0.115286569766,-0.162665353926,-0.0728395420236,-0.200916289647,-0.0847296597721,0.9989,0.000331480014481,0.99803119708,0.999385649346,0,0,0,0.000383998370677,0.7377,0.00439884882668,0.728988310561,0.746229136614,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0,0,0,0.000383998370677,1.20948842127,1.06978409579,-0.11550695569
